contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
Gworld Ghana Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=509,32635.0,509.0,Supply of Underground Cle Fault Locator,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1336,2012-10-11,Ministry of Transport,New Ghana Cedi,Ghana Ports And Harbours Authority,Underground Cle Fault Locator,2012-12-11,NCT,1,"P. O. Box C211
Cantonments
Accra",2017-10-09 10:22:23.548310,,GR/GPHA/GD/CFL/102/2012,Ghana Ports And Harbours Authority /Ministry of Transport
Specialized Instruments Company Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=510,263019.37,510.0,Supply of Underground Cle Test Van (Complete),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1336,2012-11-01,Ministry of Transport,British Pound,Ghana Ports And Harbours Authority,Supply of Underground Cle Test Van (Complete),2013-05-30,NCT,4,"P. O. Box CT 822
Cantonments
Accra",2017-10-09 10:22:25.979730,,GR/GPHA/GD/103/2012,Ghana Ports And Harbours Authority /Ministry of Transport
Construction Logistics Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=511,1347057.22,511.0,Pavement of Imported Car Park at (GJT) Phase 2-Tema Port,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1336,2012-09-01,Ministry of Transport,New Ghana Cedi,Ghana Ports And Harbours Authority,Pavement of Imported Car Park at (GJT) Phase 2-Tema Port,2012-11-30,NCT,1,"P. O. Box 9683
Airport
Accra",2017-10-09 10:22:31.224050,,GR/GPHA/WK/017/2012,Ghana Ports And Harbours Authority /Ministry of Transport
Construction Logistics Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=512,999752.5,512.0,Pavement of Food Market Car Park-Tema Port,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1336,2012-09-01,Ministry of Transport,New Ghana Cedi,Ghana Ports And Harbours Authority,Pavement of Food Market Car Park-Tema Port,2012-11-27,NCT,1.0,"P. O. Box BT KIA 9683
Airport
Accra",2017-10-09 16:53:50.335937,,GR/GPHA/WK/004/2012,Ghana Ports And Harbours Authority /Ministry of Transport
Below The Line,https://www.ppaghana.org/contractdetail.asp?Con_ID=513,127500.0,513.0,Procurement of ,,,,,,,,,,,,,,
Power Factor Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=514,417548.75,514.0,Supply of Electrical Lighting Fixtures for Tema Port,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1336,2012-09-27,Ministry of Transport,New Ghana Cedi,Ghana Ports And Harbours Authority,Supply of Electrical Lighting Fixtures for Tema Port,2012-11-27,NCT,1.0,"P. O. Box BT 651
Tema",2017-10-09 16:54:01.267339,,GR/GPHA/GD/057/2012,Ghana Ports And Harbours Authority /Ministry of Transport
Power Factor Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=515,1349910.0,515.0,Supply of Electrical Lighting Fixtures for Tema Port,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1336,2012-09-27,Ministry of Transport,USA Dollar,Ghana Ports And Harbours Authority,Supply of Electrical Lighting Fixtures for Tema Port,2012-11-27,NCT,1.0,"P. O. Box BT 651
Tema",2017-10-09 16:54:12.017841,,GR/GPHA/GD/057/2012,Ghana Ports And Harbours Authority /Ministry of Transport
Messrs P Jasoung Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=518,7559257.2,518.0,Construction of Four(4)-Storey Ultra-Modern Office Building at Tema for Environmental Protection Agency,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=305,2013-02-06,Ministry of Environment Science and Technology,New Ghana Cedi,Environmental Protection Agency,,2014-02-06,NCT,,"P. O. Box 18737
Accra - Ghana",2017-10-09 16:54:59.015517,,EPA/NCT/WKS/08/125,Environmental Protection Agency/Ministry of Environment Science and Technology
Lymens Medical Supplies Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=519,58850.0,519.0,PROCUREMENT OF ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=422,,,,,,,,,,,,,
Pharmanova,https://www.ppaghana.org/contractdetail.asp?Con_ID=521,126000.0,521.0,PROCUREMENT OF ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=422,2012-12-14,Ministry of Health,USA Dollar,Ministry of Health,,2013-04-14,ICT,144,"P. O. box AT 579
Achimota Market
Accra-Ghana",2017-10-06 13:39:01.503565,,MOH/2012/ICB/B.2.1/14,Ministry of Health /Ministry of Health
Piramal Healthcare Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=522,126000.0,522.0,PROCUREMENT OF ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=422,2012-12-14,Ministry of Health,USA Dollar,Ministry of Health,,2013-04-14,ICT,144,"247 Business Park,LBS Marg 
Vikhroli West
Mumbai - 400 083
Ghana",2017-10-06 13:38:56.801399,,MOH/2012/ICB/B.2.1/14,Ministry of Health /Ministry of Health
Roxin Ghana Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=523,21740.4,523.0,PROCUREMENT OF ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=422,2012-12-14,Ministry of Health,USA Dollar,Ministry of Health,,2013-04-14,ICT,"26, 74, 92, 94, 124, 188, 189,","P. O. Box 625
Accra-Ghana",2017-10-06 13:38:56.399414,,MOH/2012/ICB/B.2.1/14,Ministry of Health /Ministry of Health
PNT Pharmacy Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=524,308855.0,524.0,PROCUREMENT OF ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=422,2012-12-14,Ministry of Health,USA Dollar,Ministry of Health,,2013-04-14,ICT,"39, 40, 43, 44, 46, 38","P. O. Box
Accra-Ghana",2017-10-06 13:38:56.779967,,MOH/2012/ICB/B.2.1/14,Ministry of Health /Ministry of Health
IPMC Ghana Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=525,94723.2,525.0,Supply of Desktop Computers,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1376,2012-12-04,Ministry of Education,New Ghana Cedi,University Of Cape Coast (UCC),Desktop Computers - qty 80,2013-01-15,NCT,1,"P. O. BOX AN 7617
ACCRA",2017-10-06 13:38:56.524136,,CR/UCC/GD/0014/2012,University Of Cape Coast (UCC) /Ministry of Education
Auto World Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=526,68000.0,526.0,SUPPLY OF VEHICLE,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1376,2012-12-21,Ministry of Education,Euro,University Of Cape Coast (UCC),AMBULANCE QTY 1,2013-04-22,NCT,1,"P. O. BOX CE 11386
TEMA",2017-10-06 13:38:48.255977,,CR/UCC/GD/0027/2012,University Of Cape Coast (UCC) /Ministry of Education
Rana Motors and Metal works Engineering Company Li,https://www.ppaghana.org/contractdetail.asp?Con_ID=527,67670.0,527.0,Supply of Generator Set,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1376,2013-01-31,Ministry of Education,New Ghana Cedi,University Of Cape Coast (UCC),Supply and installation of 150KVa Generator Set for the Sasakawa Guest Centre,2013-03-12,NCT,1,"P. O. BOX GP 7617
ACCRA NORTH",2017-10-06 13:39:01.587423,,CR/UCC/0048/2012,University Of Cape Coast (UCC) /Ministry of Education
GWORLD GH. LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=528,184883.03,528.0,Provision of Fire Detection and Alarm System for Akosombo Generating Station,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2012-12-20,,New Ghana Cedi,Volta River Authority,Provision of Fire Detection and Alarm System for Akosombo Generating Station,2013-07-20,NCT,1,"P.O.BOX C211
CANTONMENTS, ACCRA",2017-10-06 13:39:07.821995,,PFDASAK-1,Volta River Authority/
Office Plus,https://www.ppaghana.org/contractdetail.asp?Con_ID=529,89760.3,529.0,"Supply of Desktop Computers, Notebook Computers, Printers and Peripherals",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2012-12-05,,New Ghana Cedi,Volta River Authority,"a. Supply of Desktop Computers    b. Supply of Notebook Computers    c. Supply of Scanners/Slide Scanner    d. Supply of Printers and Plotter    e. Supply of LCD Projectors, Projector Screen and Digital Cameras",2013-03-20,NCT,1,"P.O.Box KIA 16353
Accra",2017-10-06 13:39:24.343953,,VRA/MIS-B-12000885,Volta River Authority/
Fairgreen Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=530,97533.4,530.0,"Supply of Desktop Computers, Notebook Computers, Printers and Peripherals",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2012-12-05,,New Ghana Cedi,Volta River Authority,"a. Supply of Desktop Computers    b. Supply of Notebook Computers    c. Supply of Scanners/Slide Scanner    d. Supply of Printers and Plotter    e. Supply of LCD Projectors, Projector Screen and Digital Cameras",2013-03-25,NCT,2,"P.O.Box GP 3039
Accra",2017-10-06 13:39:09.800426,,VRA/MIS-B-12000885,Volta River Authority/
Lubeco Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=531,20698.0,531.0,Supply of Vehicle Batteries,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2013-01-15,,New Ghana Cedi,Volta River Authority,Supply of various vehicle batteries,2013-02-20,NCT,2,"P.O.Box CT 1522
Cantonments - Accra",2017-10-06 13:39:25.585872,,VRA/869-B-12000014,Volta River Authority/
Rana Motors & Metal Works Eng. Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=532,34079.98,532.0,Supply of Vehicle Batteries,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2013-01-15,,New Ghana Cedi,Volta River Authority,Supply of various vehicle batteries,2013-01-20,NCT,3,"P.O.Box AN 7617
Accra-North",2017-10-06 13:39:25.063071,,VRA/869-B-12000014,Volta River Authority/
Allied Home Stores Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=533,43021.5,533.0,Supply of Vehicle Batteries,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2013-01-15,,New Ghana Cedi,Volta River Authority,Supply of various vehicle batteries,2013-02-20,NCT,"1,4,5 & 6","P.O.Box 2805 
Accra-Ghana",2017-10-06 13:39:25.422125,,VRA/869-B-12000014,Volta River Authority/
Japan MotorsTrading Company,https://www.ppaghana.org/contractdetail.asp?Con_ID=534,156876.3,534.0,SUPPLY OF VEHICLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1384,2012-10-03,Ministry of Education,New Ghana Cedi,Wa Polytechnic,4X4 PICK- UP VEHICLES - qty 2,2013-01-31,NCT,1,"P. O. Box TL 384
Tamale",2017-10-06 13:39:25.745473,,UW/WPOLY/GD/0024/2011,Wa Polytechnic /Ministry of Education
Dawuro Communications Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=535,51777.88,535.0,Procurement of Goods,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2013-01-07,,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),"Supply and installation of IP PBX, telephone handset and network tools - Quantity-Various",2013-02-15,NCT,1,"Dawuro Communications Limited
P. O. Box 39, TUC Post Office
Accra.",2017-10-06 13:39:25.865371,,GR/SSNIT/GD/0042A/2012,Social Security and National Insurance Trust (SSNIT) /
Zonnage Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=536,9950.0,536.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,1,"P. O. Box 7456
Tema",2017-10-06 13:39:46.040720,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Jokwat Printing Press,https://www.ppaghana.org/contractdetail.asp?Con_ID=537,37157.5,537.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,,"P.O. Box 300
Kumasi",2017-10-06 13:39:48.778633,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Kinapharma Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=538,827000.0,538.0,Essential Medicine,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Essential Medicines Qty various,2012-08-03,NCT,Various,"P. O. Box 921
Kumasi",2017-10-06 13:39:45.927737,,AR/GHS/2012/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Crecrita Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=539,33400.0,539.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box CT 4527
Kumasi",2017-10-06 13:39:46.293324,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Georita Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=540,18000.0,540.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box CT 4527
Kumasi",2017-10-06 13:39:46.383361,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Jilloof Manufacturing Co.,https://www.ppaghana.org/contractdetail.asp?Con_ID=541,9500.0,541.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,,2017-10-06 13:39:45.728259,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Investment Int. Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=542,345525.0,542.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box DS 389
Accra",2017-10-06 13:40:04.860846,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Ozone Limit Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=543,30800.0,543.0,Procurement of Office Items and Equipment,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=428,2012-09-19,Ministry of Transport,New Ghana Cedi,"Ministry of Tourism, Culture and Creative Arts",Lot 1:   a. Desktop Computers  b. Laptop Computer     Lot 2:   a. Colour Printer   b. Black and White Printer   c. Photocopier    Lot 3:   a. Toner/ Cartridges for Photocopier and Printers   b. 4 GB Pen Drives   c. External Hard Drives,2012-10-31,NCT,2,"P. O. Box 161
Mampong-Akwapim",2017-10-06 13:40:04.996697,,GR/MOT/GD/CIDA/2012,"Ministry of Tourism, Culture and Creative Arts /Ministry of Transport"
Stanbravo Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=545,33500.0,545.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box KS 13845
Kumasi",2017-10-06 13:40:04.532791,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Asafo Akaa Ventures,https://www.ppaghana.org/contractdetail.asp?Con_ID=547,3000.0,547.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box 6965
Kumasi",2017-10-06 13:40:05.103701,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Sir Joe Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=548,67128.0,548.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box 10736
Kumasi",2017-10-06 13:40:12.564342,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Stak-Fam Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=549,5000.0,549.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box 618
Kumasi",2017-10-06 13:40:30.686454,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Yechom Ventures,https://www.ppaghana.org/contractdetail.asp?Con_ID=550,1600.0,550.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box SE 687
Kumasi",2017-10-06 13:40:30.504479,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Stanbravo Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=551,11055.0,551.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box KS 13845
Kumasi",2017-10-06 13:40:30.234188,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
AOFA Digital Images Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=552,32000.0,552.0,"Supply and Delivery of 4X4 pick-up, 2013 Calendars and Diaries and Others",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1373,2013-02-25,Ministry of Education,New Ghana Cedi,Tamale Polytechnic,Supply of Certificate Folder,2013-03-29,NCT,,"P. O. Box AT 559, Achimota, Accra, Ghana.",2017-10-06 13:40:28.509183,,NR/TAPOLY/GD/0022/2012,Tamale Polytechnic /Ministry of Education
Asafo Akaa Ventures,https://www.ppaghana.org/contractdetail.asp?Con_ID=553,1250.0,553.0,Procurement of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Procurement of Essential Medicines,2012-08-22,NCT,Various,"P.O Box 6965
Kumasi",2017-10-06 13:40:29.559904,,GHS/RHS/2011/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Baron Healthcare Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=554,32062.5,554.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box BA 112
Kumasi",2017-10-06 13:40:30.839162,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Sir Joe Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=555,39200.0,555.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box PS 10736
Kumasi",2017-10-06 13:40:37.059113,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Herona Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=556,23287.5,556.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box KN 229
Kumasi",2017-10-06 13:40:40.140232,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Baron Healthcare Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=557,17250.0,557.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box BA 112
Kumasi",2017-10-06 13:40:58.332393,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Sir Joe Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=558,21000.0,558.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box 10736
Kumasi",2017-10-06 13:40:58.133717,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
Baron Healthcare Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=559,3225.0,559.0,Procurement of Essential Non Medical CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=726,2012-08-08,Ministry of Health,New Ghana Cedi,Sunyani Regional Hospital,Non Medical CONSUMABLES,2012-08-22,NCT,Various,"P.O Box BA 112
Kumasi",2017-10-06 13:40:57.914437,,GHS/RHS/2012/NCT/B.2.5/01,Sunyani Regional Hospital/Ministry of Health
